,Location,Hotel Name
71,"Santa Monica, California",Oceana Beach Club Hotel
72,"Ballard, California",The Ballard Inn & Restaurant
73,"Newport Beach, California",Balboa Bay Club & Resort
74,"Monterey, California",Old Monterey Inn
75,"Death Valley, California",Furnace Creek Inn and ranch
76,"Sutter Creek, California",The Foxes Inn
77,"San Francisco, California",The St. Regis San Francisco
78,"San Francisco, California",Palace Hotel
79,"Napa, California",Andaz Napa
80,"Half Moon Bay, California","The Ritz-Carlton, Half Moon Bay"
81,"Los Angeles, California",Mosaic Hotel Beverly Hills
82,"Bodega, California",Sonoma Coast Villa & Spa
83,"San Diego, California",Britt Scripps Inn
84,"Santa Monica, California",Viceroy Santa Monica
85,"Napa Valley, California",Poetry Inn
86,"Truckee, California",Northstar Lodge by Welk Resorts
87,"Los Angeles, California",InterContinental Los Angeles Century City
88,"Palm Springs, California",Korakia Pensione
89,"Napa, California","River Terrace Inn, A Noble House Hotel"
90,"Napa, California",Beazley House Bed & Breakfast Inn
91,"Santa Monica, California",Fairmont Miramar Hotel & Bungalows
92,"Yountville, Napa County, California",North Block Hotel
93,"Olympic Valley, California",Resort at Squaw Creek
94,"Santa Monica, California",Hotel Casa del Mar
95,"San Francisco, California",InterContinental Mark Hopkins San Francisco
96,"San Diego, California",Pendry San Diego
97,"Los Angeles, California",The Redbury at Hollywood and Vine
98,"Lake Tahoe, California",PlumpJack Squaw Valley Inn
99,"Santa Monica, California",Huntley Santa Monica Beach
100,"San Diego, California",Kimpton Hotel Palomar San Diego
101,"Santa Barbara, California",Four Seasons Resort The Biltmore Santa Barbara
102,"Paso Robles, California",The Just Inn
103,"San Francisco, California",InterContinental San Francisco
104,"Healdsburg, California",Madrona Manor Wine Country Inn and Restaurant
105,"La Jolla, California",Lodge at Torrey Pines
106,"Santa Barbara, California",Canary Hotel
107,"Forestville, California",Farmhouse Inn
108,"San Francisco, California","Ritz-Carlton, San Francisco"
109,"San Francisco, California",Fairmont San Francisco
110,"Temecula, California",South Coast Winery Resort & Spa
111,"San Diego, California",The US Grant
112,"San Diego, California",Paradise Point Resort & Spa
113,"San Diego, California",Rancho Bernardo Inn
114,"La Quinta, California",La Quinta Resort & Club
115,"La Jolla, California",Estancia La Jolla Hotel & Spa
116,"Sutter Creek, California",Hanford House Inn
117,"Beverly Hills, California",Luxe Hotel Rodeo Drive
118,"Mendocino, California",Sea Rock Inn
119,"Santa Barbara, California","San Ysidro Ranch, a Ty Warner Property"
120,"San Marcos, California",Golden Door
121,"Coronado, California",Beach Village at the Del
122,"Rancho Mirage, California",Omni Rancho Las Palmas Resort & Spa
123,"Calistoga, Napa County, California",The Chanric Inn
124,"Santa Rosa, California",Hyatt Vineyard Creek
125,"San Francisco, California",Taj Campton Place
126,"Saint Helena, California",Wine Country Inn
127,"Palm Desert, California",JW Marriott Desert Springs Resort & Spa
128,"Del Mar, California",Grand Del Mar
129,"Carmel, California",L'Auberge Carmel
130,"Del Mar, California",L'Auberge Del Mar
131,"San Francisco, California",Hotel Majestic
132,"San Francisco, California",Petite Auberge
133,"Marina del Rey, California","The Ritz-Carlton, Marina del Rey"
134,"Palm Springs, California","The Riviera Palm Springs, A Tribute Portfolio Resort"
135,"Beverly Hills, California","Beverly Wilshire, Beverly Hills"
136,"Healdsburg, Sonoma County, California",Hotel Les Mars
137,"Pebble Beach, California",The Inn at Spanish Bay
138,"San Francisco, California",The Marker San Francisco
139,"San Francisco, California",Kimpton Sir Francis Drake Hotel
140,"San Francisco, California",White Swan Inn
141,"Mendocino, California",Brewery Gulch Inn
142,"San Francisco, California",Hotel Zelos
143,"West Hollywood, California",Chamberlain West Hollywood
144,"San Diego, California",Fairmont Grand Del Mar
145,"San Diego, California","Hotel La Jolla, Curio Collection by Hilton"
146,"La Jolla, California",Pantai Inn
147,"Solvang, California",Alisal Guest Ranch & Resort
148,"Beverly Hills, California",Viceroy L'Ermitage Beverly Hills
149,"Sausalito, California",Casa Madrona Hotel and Spa
150,"Anaheim, California",Hilton Anaheim
151,"Napa, California",White House Inn & Spa
152,"Malibu, California",Malibu Beach Inn
153,"San Jose, California",Hotel Valencia Santana Row
154,"Pebble Beach, California",Casa Palmero
155,"Rancho Palos Verdes, California",Terranea Resort
156,"West Hollywood, California",The London West Hollywood
157,"Manhattan Beach, California",Shade Hotel
158,"None, California",Hotel Vitale
159,"Palm Springs, California",Sparrows Lodge
160,"Bodega Bay, Sonoma County, California",Bodega Bay Lodge
161,"Oakhurst, California",Château du Sureau
162,"Calistoga, California","Calistoga Ranch, an Auberge Resort"
163,"Occidental, California",Inn at Occidental
164,"Kenwood, California",Kenwood Inn and Spa
165,"Big Sur, California",Ventana Inn & Spa
166,"Santa Barbara, California",Belmond El Encanto
167,"Mendocino, California",Glendeven Inn Mendocino
168,"La Jolla, California",La Valencia Hotel
169,"Beverly Hills, California",Maison 140 Beverly Hills
170,"Menlo Park, California",Rosewood Sand Hill
171,"Palm Springs, California",Colony Palms Hotel
172,"Sonoma, California",Fairmont Sonoma Mission Inn & Spa
173,"Vista, California",Cal-A-Vie Spa and Resort
174,"San Francisco, California","Huntington Hotel, The"
175,"Napa, California",Carneros Resort and Spa
176,"La Quinta, California",The Chateau at Lake La Quinta
177,"Los Angeles, California",Sofitel Los Angeles at Beverly Hills
178,"Sausalito, California",Cavallo Point Lodge
179,"Carmel, California",Quail Lodge & Golf Club
180,"Coronado, California",Glorietta Bay Inn
181,"San Diego, California",Tower23 Hotel
182,"Los Angeles, California",The Hollywood Roosevelt
183,"San Diego, California",Pacific Terrace Hotel
184,"Healdsburg, Sonoma County, California",Hotel Healdsburg
185,"Palm Springs, California",Parker Palm Springs
186,"Napa, California",Milliken Creek Inn and Spa
187,"Los Angeles, California",The Orlando Hotel
188,"San Francisco, California",Four Seasons Hotel San Francisco
189,"Redondo Beach, California",Portofino Hotel & Marina
190,"San Diego, California",The Westgate Hotel
191,"Sausalito, California",The Inn Above Tide
192,"Dana Point, California",Monarch Beach Resort
193,"San Francisco, California",The Battery
194,"Napa, California",Blackbird Inn - A Four Sisters Inn
195,"Mendocino, California",MacCallum House Inn & Restaurant
196,"Cupertino, California",Juniper Hotel Cupertino Curio Collection by Hilton
197,"Beverly Hills, California",The Beverly Hills Hotel 
198,"Beverly Hills, California",Avalon Hotel Beverly Hills
199,"West Hollywood, California",Sunset Marquis
200,"Rancho Mirage, California","The Ritz-Carlton, Rancho Mirage"
201,"Berkeley, California",The Claremont Hotel Club & Spa
202,"Calistoga, California",Solage Calistoga
203,"Monterey, California",Monterey Plaza Hotel & Spa
204,"Fish Camp, California",Tenaya Lodge at Yosemite
205,"Yountville, Napa County, California",Napa Valley Lodge
206,"Pismo Beach, California",Dolphin Bay Resort & Spa
207,"Carmel Valley, California",Bernardus Lodge and Spa
208,"Carlsbad, California","Cape Rey Carlsbad, A Hilton Resort"
209,"San Diego, California",Andaz San Diego
210,"San Francisco, California",Loews Regency San Francisco
211,"Napa, California",The Inn On First
212,"Carlsbad, California",Four Seasons Residence Club Aviara
213,"West Hollywood, California",Mondrian Los Angeles
214,"Beverly Hills, California",Montage Beverly Hills
215,"Newport Beach, California",Fairmont Newport Beach
216,"Yountville, Napa County, California",Bardessono
